,DBC,DIA,FEZ,IJH,IWD,IWF,IWM,IWN,IWO,MDY,OEF,PFF,QQQ,SPY,VTI
2011-03-25,29.931228637695312,99.88264465332031,30.01468276977539,85.41535186767578,55.88418197631836,53.27448654174805,72.65771484375,62.34950256347656,86.16483306884766,158.36758422851562,49.312007904052734,23.679920196533203,51.852760314941406,110.62908935546875,57.5291748046875
2011-03-28,29.526485443115234,99.71885681152344,29.962448120117188,85.1683120727539,55.71156311035156,53.14089584350586,72.49864959716797,62.13016891479492,86.12773132324219,157.78280639648438,49.253326416015625,23.685937881469727,51.5699577331543,110.35945892333984,57.39353942871094
2011-03-29,29.694305419921875,100.33304595947266,30.134042739868164,85.83004760742188,56.081443786621094,53.50603485107422,73.1791000366211,62.585670471191406,86.97229766845703,159.07839965820312,49.55509948730469,23.679920196533203,52.07170867919922,111.1009292602539,57.81742477416992
2011-03-30,29.65481948852539,100.90631866455078,30.47723960876465,86.65937805175781,56.56641387939453,53.862281799316406,74.12464904785156,63.35322189331055,88.2159194946289,160.63485717773438,49.85682678222656,23.72784996032715,52.317996978759766,111.86763763427734,58.249778747558594
2011-03-31,30.118793487548828,100.75071716308594,30.37279510498047,87.0916976928711,56.44310760498047,53.85335159301758,74.38091278076172,63.580963134765625,88.4850845336914,161.54364013671875,49.74787521362305,23.751829147338867,52.39099884033203,111.71598815917969,58.249778747558594
2011-04-01,30.326099395751953,101.11105346679688,30.820438385009766,87.72697448730469,56.74723815917969,54.076019287109375,74.70787811279297,63.87617874145508,88.80992889404297,162.67724609375,49.89875793457031,23.83314323425293,52.41836166381836,112.18783569335938,58.529537200927734
2011-04-04,30.602510452270508,101.35673522949219,30.790592193603516,87.7711181640625,56.82119369506836,54.10272216796875,74.87578582763672,64.06175994873047,89.04195404052734,162.75820922851562,49.965816497802734,23.83314323425293,52.245033264160156,112.28047943115234,58.580406188964844
2011-04-05,30.632125854492188,101.26668548583984,30.790592193603516,88.07987213134766,56.8129768371582,54.18288803100586,75.28229522705078,64.20513916015625,89.72876739501953,163.2800750732422,49.915523529052734,23.887340545654297,52.108192443847656,112.26367950439453,58.61430358886719
2011-04-06,30.720972061157227,101.69255828857422,31.290464401245117,88.20340728759766,56.952701568603516,54.2363166809082,75.4501953125,64.52565002441406,89.67306518554688,163.45098876953125,50.12506103515625,23.881322860717773,52.23590087890625,112.61753845214844,58.766902923583984
2011-04-07,30.780200958251953,101.47964477539062,31.2009334564209,87.67399597167969,56.80475616455078,54.14726638793945,74.99952697753906,64.0954818725586,89.2646713256836,162.497314453125,50.04962921142578,23.80902099609375,52.19941711425781,112.33106231689453,58.59735870361328
2011-04-08,31.510713577270508,101.26668548583984,31.462060928344727,86.9946517944336,56.607486724853516,53.92461395263672,74.21302032470703,63.37008285522461,88.45723724365234,161.2556915283203,49.89875793457031,23.839149475097656,51.95311737060547,111.94349670410156,58.35151672363281
2011-04-11,30.92827796936035,101.25848388671875,31.394914627075195,86.36823272705078,56.402008056640625,53.72868728637695,73.55023956298828,62.72062301635742,87.66837310791016,160.13107299804688,49.79816818237305,23.778928756713867,51.77976989746094,111.60647583007812,58.13956069946289
2011-04-12,30.296485900878906,100.29210662841797,31.245697021484375,85.53886413574219,55.97459030151367,53.31011962890625,72.58702850341797,61.96151351928711,86.54533386230469,158.60153198242188,49.39582824707031,23.724721908569336,51.42399597167969,110.7723388671875,57.64785385131836
2011-04-13,30.53340721130371,100.3658447265625,31.193466186523438,85.83885192871094,55.86774826049805,53.49713134765625,72.68424224853516,61.74217987060547,86.9258804321289,159.0424041748047,49.35390853881836,23.71869468688965,51.86189270019531,110.76390075683594,57.6817626953125
2011-04-14,30.612380981445312,100.50503540039062,31.171096801757812,85.79472351074219,55.88418197631836,53.49713134765625,73.02002716064453,62.071136474609375,87.38066101074219,159.1593475341797,49.35390853881836,23.712678909301758,51.770660400390625,110.84815216064453,57.7156867980957
2011-04-15,30.77033042907715,100.98211669921875,30.895048141479492,86.64173889160156,56.25406265258789,53.63962173461914,73.79766845703125,62.68688201904297,88.24378204345703,160.57192993164062,49.44611740112305,23.71869468688965,51.6794319152832,111.2525863647461,57.99545669555664
2011-04-18,30.582765579223633,99.79351806640625,29.91022300720215,85.1683120727539,55.51428985595703,53.105281829833984,72.57817840576172,61.775917053222656,86.7495346069336,157.81881713867188,48.901275634765625,23.68256187438965,51.314537048339844,110.00559997558594,57.300270080566406
2011-04-19,30.59263801574707,100.32632446289062,30.163890838623047,85.5212173461914,55.81843948364258,53.399173736572266,72.59584045410156,61.691585540771484,86.83308410644531,158.655517578125,49.19465255737305,23.772891998291016,51.63380813598633,110.63751220703125,57.630916595458984
